Date,Event,Registrations,All_Attendance,Livestream,Room Capacity,Category,Guest_Speaker,in_person,Genres,Total_Profit,Ticket Quantity
2023-03-20,The Real Work: The New Yorker's Adam Gopnik on the mystery of mastery,116.0,95,15,254,Journalism,Yes,80,Psychology,980.0,157
2020-01-28,A Writer's Guide To Surviving Your First Book Deal,122.0,102,0,254,Journalism,No,102,Literature,1348.0,143
2022-06-06,Dilla Time: Journalist and hip-hop historian Dan Charnas on the life and legacy of a music legend,45.0,38,13,254,Journalism,Yes,25,Arts & Culture,240.0,70
2023-03-17,Listen Up: NPR Embedded's “Capital Gazette” with Kelly McEvers and Chris Benderev,5.0,171,0,254,Live,Yes,171,Social Issues,15.0,4
2019-11-01,Falling Out of Time: Osvaldo Golijov and Silkroad,103.0,76,0,254,Live,Yes,76,Literature,998.0,164
2023-09-14,"""Bear Brook: A True Crime Story"" Live",89.0,52,0,254,Live,No,52,Psychology,800.0,179
2019-03-14,"Abilities Dance Presents ""Chroma""",35.0,27,0,254,Live,No,27,Entertainment,250.0,61
2023-03-10,?Con Salsa! Night...Live with José Massó,255.0,217,0,254,Live,Yes,217,Entertainment,1825.0,410
2023-08-25,"""Mortified"" Live",227.0,192,0,254,Live,No,192,Entertainment,4425.0,472
2023-12-08,"""Radiolab"" Live: How the Cassette Tape Changed Us",241.0,218,0,254,Live,No,218,Arts & Culture,3460.0,429
2021-02-25,Anything For Selena Live,291.0,182,0,254,Live,No,182,Arts & Culture,0.0,253
2023-09-13,Reinterpreting ‘Madama Butterfly’ for the 21st century,64.0,48,0,254,Live,No,48,Social Issues,235.0,109
2020-01-23,Rocka My Soul: Gospel Music From Church To The Stage,120.0,101,0,254,Live,No,101,Arts & Culture,1281.0,256
2019-07-18,Summer Salsa Night ft. Clave and Blues,164.0,131,0,254,Live,No,131,Entertainment,1356.0,256
2019-10-09,"The Allusionist Podcast Live: ""No Title""",177.0,153,0,254,Live,No,153,Social Issues,3760.0,297
2019-04-12,The Music of Matthew Aucoin featuring AMOC,56.0,49,0,254,Live,Yes,49,Arts & Culture,555.0,101
2023-06-22,"""Vibe Check"" Live with Sam Sanders, Saeed Jones and Zach Stafford",223.0,192,0,254,Live,Yes,192,Social Issues,3960.0,335
2019-05-17,Mehmet Ali Sanlikol and Jazz Premiere,133.0,100,0,254,Live,Yes,100,Entertainment,1039.0,202
2023-04-15,Mega Awesome Super Huge Wicked Fun: Circle Round,233.0,203,0,254,Mega Awesome,No,203,Child Entertainment,7320.0,2737
2023-04-16,Mega Awesome Super Huge Wicked Fun: Circle Round,239.0,220,0,254,Mega Awesome,No,220,Child Entertainment,7320.0,2737
2023-04-16,Mega Awesome Super Huge Wicked Fun: Past and the Curious,156.0,127,0,254,Mega Awesome,No,127,Child Entertainment,3650.0,1473
2023-04-16,Mega Awesome Super Huge Wicked Fun: Smash Boom Best,239.0,224,0,254,Mega Awesome,No,224,Child Entertainment,3650.0,1473
2023-04-15,Mega Awesome Super Huge Wicked Fun: Tumble,107.0,85,0,254,Mega Awesome,No,85,Child Entertainment,3670.0,1264
2022-04-23,The Mega Awesome Super Huge Wicked Fun Podcast Playdate,403.0,313,87,254,Mega Awesome,No,226,Child Entertainment,13055.0,1704
2022-04-24,The Mega Awesome Super Huge Wicked Fun Podcast Playdate,403.0,313,60,254,Mega Awesome,No,253,Child Entertainment,13055.0,1704
2022-04-26,WBUR Member Night: A Conversation With Meghna Chakrabarti,264.0,163,70,254,Member Night,Yes,93,Science,0.0,367
2023-11-02,WBUR Member Night: An Evening with Robin Young,333.0,149,35,254,Member Night,Yes,114,Journalism & Media,0.0,464
2022-08-17,WBUR Member night: Wine down Wednesday with our local daily podcast team,109.0,58,0,254,Member Night,No,58,Entertainment,0.0,158
2022-08-09,Moth StorySLAM: HAPPY,249.0,220,0,254,Moth StorySLAM,No,220,Entertainment,2220.0,415
2022-07-12,Moth StorySLAM: NATURE,129.0,113,0,254,Moth StorySLAM,No,113,Entertainment,990.0,126
2023-10-10,The Moth StorySLAM: ADULTING,243.0,207,0,254,Moth StorySLAM,No,207,Entertainment,2685.0,417
2022-12-13,The Moth StorySLAM: ANNIVERSARY,244.0,198,0,254,Moth StorySLAM,No,198,Entertainment,2745.0,581
2023-08-15,The Moth StorySLAM: BACK TO SCHOOL,236.0,203,0,254,Moth StorySLAM,No,203,Entertainment,2625.0,407
2023-04-11,The Moth StorySLAM: CLEAN,244.0,214,0,254,Moth StorySLAM,No,214,Entertainment,2280.0,376
2022-09-08,The Moth StorySLAM: Crossroads,203.0,185,0,254,Moth StorySLAM,No,185,Entertainment,1950.0,258
2023-09-12,The Moth StorySLAM: DRIVE,228.0,234,0,254,Moth StorySLAM,No,234,Entertainment,2385.0,356
2023-11-14,The Moth StorySLAM: GIVE AND TAKE,244.0,217,0,254,Moth StorySLAM,No,217,Entertainment,2910.0,484
2023-05-09,The Moth StorySLAM: Gossip,231.0,213,0,254,Moth StorySLAM,No,213,Entertainment,2355.0,405
2023-12-12,The Moth StorySLAM: HOME,237.0,218,0,254,Moth StorySLAM,No,218,Entertainment,2775.0,664
2022-11-08,The Moth StorySLAM: LEFTOVERS,247.0,231,0,254,Moth StorySLAM,No,231,Entertainment,2430.0,351
2023-02-07,The Moth StorySLAM: LOVE HURTS,195.0,202,0,254,Moth StorySLAM,No,202,Entertainment,1905.0,296
2023-06-13,The Moth StorySLAM: PRIDE,235.0,202,0,254,Moth StorySLAM,No,202,Entertainment,2595.0,548
2023-03-15,The Moth StorySLAM: STAKES,241.0,213,0,254,Moth StorySLAM,No,213,Entertainment,2550.0,541
2023-07-11,The Moth StorySLAM: SWEAT,239.0,227,0,254,Moth StorySLAM,No,227,Entertainment,2820.0,474
2023-01-10,The Moth StorySLAM: VICES,251.0,255,0,254,Moth StorySLAM,No,255,Entertainment,2325.0,428
2024-01-09,The Moth StorySLAMs: First Impressions,246.0,192,0,254,Moth StorySLAM,No,192,Entertainment,2295.0,376
2022-04-29,Ones To Watch: Celebrating National Poetry Month with Porsha Olayiwola and youth poets,164.0,94,5,254,Ones to Watch,Yes,89,Entertainment,770.0,320
2022-05-14,Ones to Watch: Dancer and choreographer Jenny Oliver presents a Closer Look at Belonging,174.0,164,0,254,Ones to Watch,Yes,164,Entertainment,2080.0,255
2022-02-04,Ones to Watch: FabIola Mendez,392.0,294,248,254,Ones to Watch,Yes,46,Entertainment,165.0,678
2022-06-16,Ones To Watch: Invisible Imprints,27.0,12,0,254,Ones to Watch,No,12,Entertainment,135.0,71
2022-02-27,Ones to Watch: Jonah Ellsworth,365.0,230,87,254,Ones to Watch,Yes,143,Entertainment,310.0,705
2022-06-24,Ones to Watch: Masary Studios,255.0,129,0,254,Ones to Watch,No,129,Entertainment,75.0,458
2022-04-01,Ones to Watch: Noah y Maurizio,126.0,108,17,254,Ones to Watch,Yes,91,Entertainment,1520.0,300
2022-03-24,Ones to Watch: Veronica Robles,120.0,135,39,254,Ones to Watch,Yes,96,Entertainment,1510.0,237
2019-11-12,"""Fellow Travelers"" The Opera; Covert Romance, Politics and Power",37.0,36,0,254,Opera,No,36,Literature,230.0,52
2019-03-07,Othello in the Seraglio: A Coffeehouse Opera,97.0,86,0,254,Opera,No,86,Entertainment,1168.0,153
2019-05-04,The Handmaid's Aria: How An Iconic Novel Became An Opera,241.0,202,0,254,Opera,No,202,Literature,9810.0,436
